款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),75.97%※,64.95%※,-45.46%※,24.48%,
步骤3:资产负债表-交易性金融资产变动幅度(搜索异常),1134799900.00%※,-100.00%,-100.00%,-100.00%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-95.55%※,15.61%,52.25%※,56.08%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,-0.78%,38.06%※,9.90%,6.47%,
步骤3:资产负债表-无形资产变动幅度(搜索异常),0.62%,-0.83%,48.00%※,33.54%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,-2.56%,57.35%※,6.23%,-9.80%,
步骤3:资产负债表-预收账款变动幅度(搜索异常),-5.34%,13.44%,4.76%,107.54%※,
步骤3:资产负债表-一年内到期的非流动负债变动幅度(搜索异常),-15.79%,499169900.00%※,-100.00%,50.00%,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),0.81%,74.77%※,6.23%,17.44%,
步骤3:资产负债表-应付债券变动幅度(搜索异常),-100.00%※,-55.48%※,0.20%,0.19%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),-76.00%※,-52.61%※,-2.12%,-2.98%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),0.81%,74.77%※,6.23%,17.44%,
步骤3:资产负债表-资本公积变动幅度(搜索异常),-67.57%※,-0.00%,-0.00%,1.04%,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),0.01%,4.31%,53.11%※,6.29%,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,595373.0,598369.0,530476.0,491087.0,452312.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,-0.50%※,12.80%,8.02%※,8.57%※,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),28.69%,34.02%,34.96%,37.10%,38.13%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),76.28%,233.96%※,398.70%※,233.77%※,296.17%※
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,24576.0,22061.0,18649.0,14042.0,7417.0
步骤8:应付预收/应收预付 1(判断公司地位),887.94%,487.51%,340.45%,228.30%,199.21%
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),30.07%,28.73%,27.92%,29.72%,33.25%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),5.11%,5.67%,7.31%,8.62%,10.57%※
,,,,,
