款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),2.48%,-49.36%※,57.87%※,5.66%,
步骤3:资产负债表-存货变动幅度(搜索异常)※,40.09%※,18.69%,7.26%,-7.23%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-44.34%※,396.37%※,45.89%,18.15%,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),5.11%,-18.06%,47.80%※,2.05%,
步骤3:资产负债表-长期股权投资变动幅度(搜索异常),2.70%,8.17%,8.22%,1238.28%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,130.01%※,41.76%※,40.51%※,73.08%※,
步骤3:资产负债表-生产性生物资产变动幅度(搜索异常),-100.00%,-100.00%,-100.00%,-100.00%※,
步骤3:资产负债表-其他非流动资产变动幅度(搜索异常),83.36%※,137.04%※,9.32%,32.73%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),50.13%※,19.00%,2.02%,-3.91%,
步骤3:资产负债表-短期借款变动幅度(搜索异常)※,199.38%※,-80.62%※,5140.00%※,-97.58%※,
步骤3:资产负债表-预收账款变动幅度(搜索异常),36.80%※,6.67%,14.86%,76.45%※,
步骤3:资产负债表-应付职工薪酬变动幅度(搜索异常),-3.70%,-3.47%,12.46%,36.83%※,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,231.69%※,-11.97%,9.86%,0.64%,
步骤3:资产负债表-其他流动负债变动幅度(搜索异常),29384.73%※,-12.74%,-81.56%,-23.12%,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),63.96%※,-19.62%,59.99%※,-18.10%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),591.83%※,89.16%,-81.19%,-12.79%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),63.96%※,-19.62%,59.99%※,-18.10%,
步骤3:资产负债表-资本公积变动幅度(搜索异常),-70.28%※,2.74%,11.68%,-0.01%,
步骤3:资产负债表-减:库存股变动幅度(搜索异常),3314.46%※,-51.68%,201689900.00%,-100.00%,
,,,,,
