款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),-32.35%※,118.84%※,58.72%※,38.27%※,
步骤3:资产负债表-应收账款变动幅度(搜索异常)※,48.42%※,48.42%※,12.18%,39.29%※,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),25.76%,-37.75%※,-4.79%,129.68%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),-5.95%,61.32%※,26.61%,59.49%※,
步骤3:资产负债表-固定资产原值变动幅度(搜索异常),100.61%※,36.41%※,4.29%,59.92%※,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),120.62%※,39.17%,-3.28%,68.93%,
步骤3:资产负债表-固定资产变动幅度(搜索异常),120.62%※,39.17%,-3.28%,68.93%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,-8.48%,147.97%※,58.35%※,-5.25%,
步骤3:资产负债表-无形资产变动幅度(搜索异常),44.72%※,17.09%,7.33%,-0.84%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),33.17%※,39.59%※,13.30%,-0.02%,
步骤3:资产负债表-资产总计变动幅度(搜索异常),20.48%,45.97%※,16.91%,11.23%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,14.69%,44.20%※,43.02%※,40.58%※,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),-7.11%,42.96%※,45.42%※,36.29%※,
步骤3:资产负债表-长期借款变动幅度(搜索异常),37.70%※,87.97%※,5.17%,64.26%※,
步骤3:资产负债表-应付债券变动幅度(搜索异常),-66.18%※,501059900.00%※,-100.00%,-100.00%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),3.71%,72.22%※,2.64%,1.56%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),-7.11%,42.96%※,45.42%※,36.29%※,
步骤3:资产负债表-实收资本(或股本)变动幅度(搜索异常),38.81%※,-0.01%,1.04%,50.00%※,
步骤3:资产负债表-资本公积变动幅度(搜索异常),94.91%※,4.68%,54.50%※,-55.60%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),45.44%※,22.30%,28.33%,56.40%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),33.05%※,41.63%※,35.69%※,26.69%,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),36.81%※,33.47%※,20.22%,14.15%,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),37.21%※,33.43%※,20.58%,14.15%,
步骤3:资产负债表-负债和所有者权益(或股东权益)总计变动幅度(搜索异常),20.48%,45.97%※,16.91%,11.23%,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,691453.0,573924.0,393180.0,336313.0,302354.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,20.48%,45.97%,16.91%,11.23%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),38.76%,46.23%,41.18%,42.97%,44.43%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),124.98%※,97.11%,62.91%,101.87%※,86.56%
