款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),57.39%※,-29.35%,40.95%※,36.84%※,
步骤3:资产负债表-应收账款变动幅度(搜索异常)※,-5.93%,31.78%※,24.93%,-2.64%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-64.26%※,70.67%※,11.94%,33.75%※,
步骤3:资产负债表-长期股权投资变动幅度(搜索异常),-36.94%※,308.45%※,-68.68%※,247499900.00%※,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),38.69%※,0.31%,1.85%,20.20%,
步骤3:资产负债表-固定资产变动幅度(搜索异常),38.69%※,0.31%,1.85%,20.20%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,47849900.00%,-100.00%※,512.77%※,-80.59%※,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),-1.87%,23.56%,-2.08%,30.56%※,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,17.61%,16.19%,-11.14%,125.56%※,
步骤3:资产负债表-预收账款变动幅度(搜索异常),-14.48%,-5.60%,21.57%,91.70%※,
步骤3:资产负债表-应付职工薪酬变动幅度(搜索异常),-0.74%,-4.67%,50.60%※,-2.28%,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,50189900.00%,-100.00%,-26.09%,459.85%※,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),-3.99%,-3.50%,6.82%,85.54%※,
步骤3:资产负债表-负债合计变动幅度(搜索异常),-3.99%,-3.50%,6.82%,85.54%※,
步骤3:资产负债表-实收资本(或股本)变动幅度(搜索异常),20.00%,30.00%,30.00%,34.04%※,
步骤3:资产负债表-资本公积变动幅度(搜索异常),-58.52%※,-39.32%※,-20.85%,-4.00%,
步骤3:资产负债表-减:库存股变动幅度(搜索异常),-100.00%,-58.66%,-38.24%※,119339900.00%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),26.17%,28.24%,32.40%※,33.67%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),6.01%,22.70%,28.60%,34.98%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,482467.0,461408.0,419790.0,367117.0,290095.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,4.56%※,9.91%※,14.35%,26.55%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),19.05%,20.74%,23.52%,25.17%,17.50%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,274.0,-615.0※,8402.0,3870.0,-11038.0※
步骤8:应付预收/应收预付 1(判断公司地位),100.80%,98.51%※,124.30%,112.29%,66.01%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),25.77%,18.68%,23.62%,23.57%,28.03%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.11%,0.36%,0.48%,0.58%,0.77%
,,,,,
步骤11:利润表-研发费用变动幅度(搜索异常),11.03%,145189900.00%※,-100.00%,-100.00%,
步骤11:利润表-营业利润变动幅度(搜索异常),2.47%,21.12%,24.33%,36.02%※,
步骤11:利润表-利润总额变动幅度(搜索异常),2.65%,20.93%,21.09%,37.59%※,
步骤11:利润表-所得税费用变动幅度(搜索异常),13.57%,30.57%※,14.04%,33.13%※,
步骤11:利润表-净利润变动幅度(搜索异常),0.57%,19.26%,22.41%,38.46%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),0.50%,19.12%,22.45%,38.46%※,
,,,,,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),-8.59%,-2.03%,3.69%,46.25%※,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),-6.50%,1.58%,-2.82%,94.83%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),119999900.00%,-100.00%※,299619900.00%※,-100.00%,
