款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),-39.03%※,19.33%,1.26%,1.41%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,-100.00%,-100.00%,12.76%,-48.48%※,
步骤3:资产负债表-短期借款变动幅度(搜索异常)※,-60.79%※,23.03%,168.57%※,-20.01%,
步骤3:资产负债表-预收账款变动幅度(搜索异常),10.93%,67.98%※,-51.37%※,93.19%※,
步骤3:资产负债表-应交税费变动幅度(搜索异常),13.85%,-23.72%,-12.12%,134.17%※,
步骤3:资产负债表-长期借款变动幅度(搜索异常),-31.40%※,126.57%※,-4.24%,-61.90%※,
步骤3:资产负债表-应付债券变动幅度(搜索异常),830579900.00%※,-100.00%,-100.00%,-100.00%,
步骤3:资产负债表-其他非流动负债变动幅度(搜索异常),-100.00%,-100.00%,-100.00%※,13.91%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),45.36%※,66.82%※,-69.24%※,-14.35%,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),17.62%,-0.00%,21.15%,31.18%※,
步骤3:资产负债表-少数股东权益变动幅度(搜索异常),17.34%,9.34%,13.48%,61.04%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,1763711.0,1793376.0,1653926.0,1607981.0,1544681.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,-1.65%※,8.43%※,2.86%※,4.10%※,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),57.95%,62.17%,59.60%,61.69%,65.93%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),118.65%※,116.79%※,103.16%※,48.02%,83.99%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-106199.0※,-122084.0※,-169437.0※,-87823.0※,-150405.0※
步骤8:应付预收/应收预付 1(判断公司地位),48.82%※,42.79%※,24.29%※,56.00%※,27.78%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),43.04%淘汰,33.08%,38.57%,39.33%,38.36%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.00%,0.01%,0.01%,0.02%,0.02%
,,,,,
步骤11:利润表-营业利润变动幅度(搜索异常),29.22%,-20.22%,12.88%,45.88%※,
步骤11:利润表-利润总额变动幅度(搜索异常),35.53%※,-20.99%,-1.40%,44.27%※,
步骤11:利润表-净利润变动幅度(搜索异常),29.60%,-35.63%※,21.15%,36.11%※,
,,,,,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),65.77%※,-9.17%,-38.66%※,39.81%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),11.88%,45.75%※,-2.41%,-40.44%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),5.90%,45.21%※,7.79%,-42.40%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),32.84%※,30.03%※,149.84%※,-58.38%※,
步骤11:现金流量表- 收到其他与筹资活动有关的现金变动幅度(搜索异常),-100.00%,-100.00%,-100.00%,-100.00%※,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),32.84%※,29.18%,109.19%※,-67.84%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),131.11%※,137.76%※,-47.37%※,-16.31%,
步骤11:现金流量表- 支付其他与筹资活动有关的现金变动幅度(搜索异常),-100.00%,-100.00%※,531.38%※,249999900.00%,
