款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),137.60%※,113.84%,-52.07%※,-71.36%※,
步骤3:资产负债表-应收账款变动幅度(搜索异常)※,83.65%※,53.98%※,38.83%※,53.30%※,
步骤3:资产负债表-预付款项变动幅度(搜索异常)※,56.23%※,33.89%※,-3.26%,218.73%※,
步骤3:资产负债表-存货变动幅度(搜索异常)※,33.49%※,32.47%※,109.15%※,10.66%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),83.24%※,-14.32%,-50.41%※,45792.72%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),82.16%※,21.20%,-22.25%,183.40%※,
步骤3:资产负债表-固定资产原值变动幅度(搜索异常),34.44%※,51.79%※,31.58%※,75.72%※,
步骤3:资产负债表-累计折旧变动幅度(搜索异常),23.15%,46.88%※,49.29%※,61.31%※,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),39.70%※,54.19%※,24.36%,82.36%※,
步骤3:资产负债表-固定资产变动幅度(搜索异常),39.70%※,54.19%※,24.36%,82.36%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,75.18%※,-34.02%※,102.48%※,-44.84%※,
步骤3:资产负债表-工程物资变动幅度(搜索异常),29.98%,120.73%,-13.10%,-31.35%※,
步骤3:资产负债表-无形资产变动幅度(搜索异常),28.18%,-6.98%,1051.36%※,12.85%,
步骤3:资产负债表-商誉变动幅度(搜索异常),3.87%,-0.00%,546909.97%※,-0.33%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),44.57%※,21.63%,97.05%※,21.74%,
步骤3:资产负债表-资产总计变动幅度(搜索异常),60.24%※,21.45%,20.09%,92.63%※,
步骤3:资产负债表-短期借款变动幅度(搜索异常)※,544.64%※,3672.19%,1199900.00%,-100.00%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,102.01%※,29.63%,143.87%※,42.19%,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,4.12%,31.73%※,471.55%※,26.03%,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),61.60%※,42.81%※,188.32%※,13.55%,
步骤3:资产负债表-长期借款变动幅度(搜索异常),-100.00%,24.31%,34019900.00%,-100.00%※,
步骤3:资产负债表-应付债券变动幅度(搜索异常),503059900.00%※,-100.00%,-100.00%,-100.00%,
步骤3:资产负债表-递延所得税负债变动幅度(搜索异常),240.89%※,35.87%,125.77%,151.22%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),695.07%※,13.88%,149.06%※,-70.77%※,
步骤3:资产负债表-负债合计变动幅度(搜索异常),61.60%※,42.81%※,188.32%※,13.55%,
步骤3:资产负债表-资本公积变动幅度(搜索异常),-0.00%,0.21%,-0.00%,137044.32%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),2.48%,39.08%※,45.57%※,52.62%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),56.43%※,35.86%※,-4.04%,114.98%※,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),32.58%※,15.67%,1.36%,128.92%※,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),34.01%※,16.36%,2.71%,128.92%※,
步骤3:资产负债表-负债和所有者权益(或股东权益)总计变动幅度(搜索异常),60.24%※,21.45%,20.09%,92.63%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
