款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),43.98%※,66.76%※,6.88%,229.19%※,
步骤3:资产负债表-存货变动幅度(搜索异常)※,6.38%,31.24%※,18.60%,19.78%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-96.69%※,-56.00%※,219.11%※,65.93%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),12.71%,17.35%,34.50%※,60.73%※,
步骤3:资产负债表-固定资产原值变动幅度(搜索异常),9.06%,29.17%,18.40%,50.54%※,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),4.96%,32.05%※,15.45%,61.29%※,
步骤3:资产负债表-固定资产变动幅度(搜索异常),4.96%,32.09%※,15.47%,61.42%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,15.13%,-5.48%,155.92%※,-44.22%※,
步骤3:资产负债表-无形资产变动幅度(搜索异常),4.53%,44.34%※,-1.35%,7.56%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),9.12%,16.63%,32.45%※,19.22%,
步骤3:资产负债表-资产总计变动幅度(搜索异常),11.12%,17.03%,33.58%※,39.11%※,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,9.56%,9.13%,8.55%,126.13%※,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),10.32%,11.81%,20.84%,46.90%※,
步骤3:资产负债表-应付债券变动幅度(搜索异常),4.25%,-20.81%,697869900.00%※,-100.00%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),7.24%,-12.67%,1070.16%※,103.31%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),10.32%,11.81%,20.84%,46.90%※,
步骤3:资产负债表-资本公积变动幅度(搜索异常),0.25%,13.43%,-1.45%,59.57%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),21.20%,40.76%※,41.56%※,34.12%※,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),11.85%,23.99%,20.36%,37.08%※,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),11.85%,23.99%,19.37%,35.93%※,
步骤3:资产负债表-负债和所有者权益(或股东权益)总计变动幅度(搜索异常),11.12%,17.03%,33.58%※,39.11%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,866464.0,779732.0,666254.0,498761.0,358542.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,11.12%,17.03%,33.58%,39.11%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),29.55%,30.00%,33.93%,26.07%,24.34%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),25.25%,34.85%,73.36%,0.00%,0.00%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-170477.0※,-197422.0※,-167028.0※,-134397.0※,-105938.0※
步骤8:应付预收/应收预付 1(判断公司地位),8.84%※,7.69%※,8.25%※,6.76%※,6.58%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),34.83%,36.09%,34.83%,33.93%,37.77%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.59%,0.63%,0.56%,0.75%,1.05%
,,,,,
步骤11:利润表-管理费用变动幅度(搜索异常),7.89%,-37.19%※,12.59%,6.46%,
步骤11:利润表-营业利润变动幅度(搜索异常),-2.30%,38.89%※,29.59%,39.81%※,
步骤11:利润表-利润总额变动幅度(搜索异常),-4.23%,37.70%※,31.95%※,36.07%※,
步骤11:利润表-所得税费用变动幅度(搜索异常),-6.49%,36.53%※,37.76%※,31.91%※,
步骤11:利润表-净利润变动幅度(搜索异常),-3.84%,37.90%※,30.99%※,36.78%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),-3.84%,37.96%※,30.97%※,36.06%※,
,,,,,
步骤11:现金流量表- 支付给职工以及为职工支付的现金变动幅度(搜索异常),9.56%,33.36%※,16.77%,23.17%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),25.66%,43.78%※,30.19%※,41.46%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-55.82%※,259.38%※,-35.76%※,-13.22%,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-56.06%※,239.20%※,-35.15%※,-8.22%,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),-18.20%,-10.48%,130.69%※,-18.31%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-50.54%※,45.41%※,7.49%,22.36%,
步骤11:现金流量表- 取得子公司及其他营业单位支付的现金净额变动幅度(搜索异常),-100.00%,-100.00%,72789900.00%,-100.00%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-39.98%※,15.80%,46.62%※,-7.77%,
步骤11:现金流量表- 吸收投资收到的现金变动幅度(搜索异常),-100.00%,-100.00%,-100.00%※,642259900.00%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),-100.00%,-100.00%,-100.00%,-75.81%※,
步骤11:现金流量表- 发行债券收到的现金变动幅度(搜索异常),-100.00%,-100.00%※,843159900.00%※,-100.00%,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),-100.00%,-100.00%※,17.55%,131.37%※,
