款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),-4.80%,-2.98%,133.77%※,-0.47%,
步骤3:资产负债表-存货变动幅度(搜索异常)※,24.19%,-12.88%,52.43%※,18.71%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-100.00%,-100.00%,-100.00%※,48.65%※,
步骤3:资产负债表-可供出售金融资产变动幅度(搜索异常),-100.00%※,-67.66%※,246169900.00%※,-100.00%,
步骤3:资产负债表-固定资产原值变动幅度(搜索异常),79.78%※,0.48%,5.32%,4.57%,
步骤3:资产负债表-累计折旧变动幅度(搜索异常),9.42%,16.72%,179269900.00%※,-100.00%※,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),125.29%※,-7.81%,-30.29%※,43.24%※,
步骤3:资产负债表-固定资产减值准备变动幅度(搜索异常),-100.00%,-100.00%,-100.00%※,152009900.00%※,
步骤3:资产负债表-固定资产变动幅度(搜索异常),125.29%※,-7.81%,-0.14%,-0.01%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,-66.12%※,1581.36%※,709.67%,-33.21%,
步骤3:资产负债表-无形资产变动幅度(搜索异常),-0.34%,69.74%※,69.74%※,-2.95%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),29.76%,15.08%,72.64%※,-0.70%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,91.89%※,54.27%※,17.24%,7.21%,
步骤3:资产负债表-预收账款变动幅度(搜索异常),-39.77%※,2.49%,135.86%※,109.17%※,
步骤3:资产负债表-应交税费变动幅度(搜索异常),39.07%※,1.95%,43.65%,-3.44%,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,-29.81%,-14.18%,-1.51%,188.59%※,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),6.79%,13.46%,48.99%※,47.39%※,
步骤3:资产负债表-负债合计变动幅度(搜索异常),6.79%,13.46%,48.99%※,47.39%※,
步骤3:资产负债表-实收资本(或股本)变动幅度(搜索异常),-0.00%,-0.00%,0.03%,61.47%※,
步骤3:资产负债表-资本公积变动幅度(搜索异常),0.23%,8.16%,44.95%※,-75.49%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),35.75%※,28.26%,38.52%※,38.21%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,198680.0,178058.0,167568.0,139763.0,121189.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,11.58%,6.26%※,19.89%,15.33%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),23.53%,23.34%,21.92%,17.64%,13.90%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,7698.0,13593.0,15420.0,7142.0,3804.0
步骤8:应付预收/应收预付 1(判断公司地位),344.77%,383.07%,878.79%,661.92%,500.84%
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),40.75%淘汰,31.55%,21.79%,25.27%,29.22%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.00%,4.47%,14.69%※,0.00%,0.00%
,,,,,
步骤11:利润表-营业总收入变动幅度(搜索异常),20.24%,36.49%※,54.18%※,28.54%,
步骤11:利润表-营业收入变动幅度(搜索异常),20.24%,36.49%※,54.18%※,28.54%,
步骤11:利润表-营业总成本变动幅度(搜索异常),19.52%,38.00%※,58.35%※,19.01%,
步骤11:利润表-营业成本变动幅度(搜索异常),15.32%,43.60%※,57.20%※,23.12%,
步骤11:利润表-销售费用变动幅度(搜索异常),66.17%※,53.34%※,81.56%※,-11.42%,
步骤11:利润表-管理费用变动幅度(搜索异常),-18.49%,-30.68%※,46.34%※,26.71%,
步骤11:利润表-投资收益变动幅度(搜索异常),-67.68%,-66.06%※,84.97%※,-33.84%※,
步骤11:利润表-营业利润变动幅度(搜索异常),20.01%,24.12%,49.24%※,39.63%※,
步骤11:利润表-利润总额变动幅度(搜索异常),20.31%,23.73%,51.38%※,30.88%※,
步骤11:利润表-所得税费用变动幅度(搜索异常),11.60%,23.86%,55.99%※,34.94%※,
步骤11:利润表-净利润变动幅度(搜索异常),21.85%,23.70%,50.59%※,30.21%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),21.85%,23.70%,50.59%※,30.21%※,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),24.71%,28.68%,56.35%※,30.68%※,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),26.13%,26.90%,59.38%※,27.71%,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),39.59%※,47.78%※,58.12%※,11.11%,
步骤11:现金流量表- 支付给职工以及为职工支付的现金变动幅度(搜索异常),13.13%,26.67%,37.75%※,6.37%,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),-6.94%,30.41%※,27.10%,50.10%※,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),23.65%,43.24%※,100.79%※,-6.50%,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),27.29%,41.89%※,55.11%※,13.56%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),22.97%,-1.38%,68.12%※,71.41%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-52.63%※,11.76%,-58.66%※,1.43%,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-52.63%※,8.85%,-57.42%※,0.98%,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),-4.15%,184.60%※,122.54%※,17.62%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-46.27%※,55.09%※,-75.85%※,8.44%,
