款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),42.28%※,68.49%※,8.01%,14.99%,
步骤3:资产负债表-交易性金融资产变动幅度(搜索异常),4878139900.00%※,-100.00%,-100.00%,-100.00%,
步骤3:资产负债表-存货变动幅度(搜索异常)※,49.81%※,15.58%,10.77%,-6.00%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-99.56%※,-0.67%,91.38%※,62.53%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),28.22%,34.03%※,33.60%※,23.05%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,95.61%,-58.98%※,5.62%,-25.96%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,32.97%※,22.10%,1.46%,-6.48%,
步骤3:资产负债表-预收账款变动幅度(搜索异常),26.61%,20.83%,48.06%※,61.70%※,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,14.14%,70.15%※,39.77%※,0.48%,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),29.77%,36.20%※,32.63%※,25.89%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),29.77%,36.20%※,32.63%※,25.89%,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),32.55%※,30.89%※,28.93%,25.35%,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,2475389.0,2014379.0,1633601.0,1346359.0,1149800.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,22.89%,23.31%,21.33%,17.10%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),32.95%,31.06%,27.99%,25.62%,23.89%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),0.15%,0.21%,0.00%,0.00%,0.00%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,447449.0,328443.0,265899.0,182052.0,111159.0
步骤8:应付预收/应收预付 1(判断公司地位),21366.59%,16823.17%,12859.07%,10808.94%,15369.09%
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),15.92%,19.85%,26.11%,32.78%,35.23%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.02%,0.03%,0.03%,0.04%,0.05%
,,,,,
步骤11:利润表-管理费用变动幅度(搜索异常),18.06%,-59.53%※,16.75%,-2.84%,
,,,,,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),9.53%,27.01%,15.88%,85.62%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-31.29%※,222.53%※,23.05%,50.77%※,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-30.13%※,216.18%※,24.69%,48.55%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),160.20%,-14.54%,-66.75%※,5.88%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-32.53%※,118.05%※,43.28%※,115.45%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-29.95%,112.96%※,29.18%,89.43%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),4.06%,851.98%※,-40.59%※,14.06%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),69.12%※,7.83%,15.18%,15.35%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),42.53%※,69.12%※,7.83%,15.18%,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),13.51%,63.73%※,36.39%※,-213.55%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),9.53%,27.01%,15.88%,85.62%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),42.53%※,69.12%※,7.83%,15.18%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),69.12%※,7.83%,15.18%,15.35%,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),4.06%,851.98%※,-40.59%※,14.06%,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",118.50%,120.44%,123.10%,122.50%,109.07%※
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),16.22%,16.80%,17.06%,10.31%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",45.44%,46.47%,45.69%,43.95%,41.94%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),12.39%,14.57%,17.58%,16.69%,15.60%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,663284.0,539649.0,402320.0,331489.0,291858.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),33.50%,31.68%,27.59%,26.61%,25.84%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),104.01%,103.33%,95.44%,97.11%,96.92%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,535624.0,436667.0,353148.0,284313.0,250963.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),126.58%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",32.28%,31.46%,30.05%,28.39%,28.68%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),342265.0,325734.0,242289.0,206969.0,56376.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,58263.0,22392.0,26203.0,78807.0,74428.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,8.87%※,3.73%※,5.55%※,19.34%,33.91%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正正负,正正负,正负负,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,665642.0,614908.0,224405.0,230494.0,187525.0
