款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),-18.32%,59.20%※,42.61%,-46.98%※,
步骤3:资产负债表-拆出资金变动幅度(搜索异常),291.56%※,1001169900.00%,-100.00%,-100.00%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),34.03%※,-42.00%※,-2.84%,26.50%,
步骤3:资产负债表-可供出售金融资产变动幅度(搜索异常),-100.00%※,-25.72%,27.74%,103.64%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,-14.12%,-2.81%,85.44%※,76.15%※,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),22.82%,9.48%,27.72%,36.64%※,
步骤3:资产负债表-短期借款变动幅度(搜索异常)※,15.01%,-27.92%,2499999900.00%※,-100.00%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,-5.27%,15.43%,-8.24%,43.65%※,
步骤3:资产负债表-应付职工薪酬变动幅度(搜索异常),54.21%※,-18.24%,-20.67%,88.99%※,
步骤3:资产负债表-一年内到期的非流动负债变动幅度(搜索异常),58.43%,514.28%,69999900.00%,-100.00%※,
步骤3:资产负债表-长期借款变动幅度(搜索异常),-43.69%※,169.83%※,894999900.00%,-100.00%,
步骤3:资产负债表-应付债券变动幅度(搜索异常),20.12%,0.15%,2481749900.00%※,-100.00%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),-0.78%,42.84%※,1493.02%※,64.75%,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),-0.00%,32.22%※,85.46%※,73.32%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),47.22%※,5.46%,6.92%,63.68%※,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),30.50%※,5.98%,7.08%,36.82%※,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),31.08%※,6.61%,6.34%,36.26%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
