款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),42.66%※,-49.61%※,229.93%※,7.65%,
步骤3:资产负债表-应收账款变动幅度(搜索异常)※,33.70%※,71.79%※,80.97%※,33.53%※,
步骤3:资产负债表-存货变动幅度(搜索异常)※,4.22%,31.13%※,32.43%※,18.53%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-91.67%※,3649.62%※,-80.30%,-60.28%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),24.83%,-12.36%,129.78%※,8.68%,
步骤3:资产负债表-可供出售金融资产变动幅度(搜索异常),-100.00%※,31.13%※,44.49%※,203.90%※,
步骤3:资产负债表-固定资产原值变动幅度(搜索异常),21.61%,18.52%,56.44%※,15.36%,
步骤3:资产负债表-累计折旧变动幅度(搜索异常),22.79%,9.30%,65.23%※,12.11%,
步骤3:资产负债表-固定资产净值变动幅度(搜索异常),20.43%,29.51%,47.11%※,19.04%,
步骤3:资产负债表-固定资产变动幅度(搜索异常),20.43%,29.51%,47.11%※,19.04%,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,78.03%※,61.50%,812.12%,-83.34%,
步骤3:资产负债表-无形资产变动幅度(搜索异常),8.79%,-1.82%,2099.14%※,35.80%,
步骤3:资产负债表-商誉变动幅度(搜索异常),27.96%,-2.85%,373.93%※,-0.00%,
步骤3:资产负债表-非流动资产合计变动幅度(搜索异常),22.92%,13.65%,128.57%※,38.22%※,
步骤3:资产负债表-资产总计变动幅度(搜索异常),23.56%,3.37%,129.05%※,24.85%,
步骤3:资产负债表-短期借款变动幅度(搜索异常)※,107.14%※,279999900.00%,-100.00%,-100.00%,
步骤3:资产负债表-应付账款变动幅度(搜索异常)※,15.81%,32.65%※,69.03%※,16.52%,
步骤3:资产负债表-应付职工薪酬变动幅度(搜索异常),46.91%※,29.44%,72.71%※,14.74%,
步骤3:资产负债表-其他应付款变动幅度(搜索异常)※,-12.92%,-69.81%※,124.90%※,512.77%※,
步骤3:资产负债表-一年内到期的非流动负债变动幅度(搜索异常),167.53%,-58.74%※,25617.82%※,-58.87%,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),41.01%※,-3.71%,125.20%※,62.48%※,
步骤3:资产负债表-长期借款变动幅度(搜索异常),23.92%,-10.03%,688.52%※,6.81%,
步骤3:资产负债表-非流动负债合计变动幅度(搜索异常),23.47%,-6.17%,818.03%※,5.31%,
步骤3:资产负债表-负债合计变动幅度(搜索异常),41.01%※,-3.71%,125.20%※,62.48%※,
步骤3:资产负债表-实收资本(或股本)变动幅度(搜索异常),29.98%,50.28%※,56.98%※,2.51%,
步骤3:资产负债表-资本公积变动幅度(搜索异常),-58.01%※,-40.65%※,325.40%※,249.51%※,
步骤3:资产负债表-减:库存股变动幅度(搜索异常),-52.64%,-36.56%,-26.87%,1564.95%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),31.29%※,31.00%※,30.55%※,29.46%,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),44.41%※,33.90%※,-0.24%,19.38%,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),15.83%,9.14%,87.55%※,16.10%,
步骤3:资产负债表-少数股东权益变动幅度(搜索异常),54.35%※,8.51%,64.19%※,50.18%※,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),17.62%,9.11%,86.31%※,17.52%,
步骤3:资产负债表-负债和所有者权益(或股东权益)总计变动幅度(搜索异常),23.56%,3.37%,129.05%※,24.85%,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,1189475.0,962658.0,931283.0,406593.0,325663.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,23.56%,3.37%※,129.05%,24.85%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),40.96%,37.98%,41.24%,27.76%,23.26%
,,,,,
