款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),84.55%※,-14.92%,-25.13%,48.43%※,
步骤3:资产负债表-交易性金融资产变动幅度(搜索异常),1359999900.00%※,-100.00%,-100.00%,-100.00%,
步骤3:资产负债表-应收票据变动幅度(搜索异常)※,-22.19%,25.81%,58.10%※,3.88%,
步骤3:资产负债表-应收账款变动幅度(搜索异常)※,62.42%※,20.37%,11.93%,3.50%,
步骤3:资产负债表-其他流动资产变动幅度(搜索异常),-99.38%※,71.46%※,8572.47%※,19245.17%,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),13.43%,19.19%,24.06%,34.56%※,
步骤3:资产负债表-累计折旧变动幅度(搜索异常),20.45%,24.93%,30.07%※,35.45%※,
步骤3:资产负债表-应付票据变动幅度(搜索异常)※,46.64%※,12.53%,365609900.00%※,-100.00%,
步骤3:资产负债表-预收账款变动幅度(搜索异常),-6.65%,59.19%※,-12.53%,60.20%※,
步骤3:资产负债表-实收资本(或股本)变动幅度(搜索异常),-0.00%,-0.00%,29.99%,50.19%※,
步骤3:资产负债表-资本公积变动幅度(搜索异常),0.03%,0.52%,-34.55%※,-25.51%,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),-0.00%,-0.00%,29.99%,50.19%※,
步骤3:资产负债表-未分配利润变动幅度(搜索异常),19.67%,22.01%,39.87%※,47.13%※,
步骤3:资产负债表-归属于母公司股东权益合计变动幅度(搜索异常),13.55%,14.91%,27.42%,30.26%※,
步骤3:资产负债表-所有者权益(或股东权益)合计变动幅度(搜索异常),13.76%,16.61%,27.45%,30.29%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,1065192.0,945536.0,792662.0,641520.0,502664.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,12.65%,19.29%,23.56%,27.62%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),34.53%,35.16%,33.67%,35.70%,37.01%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-6686.0※,-19291.0※,-33689.0※,-16163.0※,-42993.0※
步骤8:应付预收/应收预付 1(判断公司地位),96.21%※,89.13%※,76.56%※,83.87%※,54.96%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),10.31%,10.86%,10.72%,13.28%,17.35%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.00%,1.27%,1.87%,0.43%,0.55%
,,,,,
步骤11:利润表-营业成本变动幅度(搜索异常),2.84%,6.16%,31.39%※,30.21%※,
步骤11:利润表-研发费用变动幅度(搜索异常),2.06%,293429900.00%※,-100.00%,-100.00%,
步骤11:利润表-管理费用变动幅度(搜索异常),4.41%,-43.37%※,7.08%,26.78%,
步骤11:利润表-营业利润变动幅度(搜索异常),10.00%,0.68%,26.69%,39.98%※,
步骤11:利润表-利润总额变动幅度(搜索异常),9.94%,0.57%,20.54%,44.95%※,
步骤11:利润表-所得税费用变动幅度(搜索异常),17.76%,-5.62%,17.24%,40.17%※,
步骤11:利润表-净利润变动幅度(搜索异常),8.79%,1.55%,21.08%,45.76%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),7.89%,0.85%,21.08%,45.32%※,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),-6.96%,17.46%,12.88%,33.59%※,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),-5.91%,17.89%,12.64%,33.31%※,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),-15.61%,23.26%,36.66%※,39.57%※,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),1.93%,-3.74%,24.39%,32.86%※,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),-7.79%,17.43%,22.34%,32.05%※,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),3.07%,20.13%,-18.72%,37.54%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),32.92%※,2832.94%※,99999900.00%,-100.00%,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),32.70%※,2621.81%※,2925.19%,9077.06%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-32.29%※,130.92%※,64176.71%※,-90.34%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-29.62%,122.50%※,837.48%※,-33.94%※,
步骤11:现金流量表- 投资活动产生的现金流量净额变动幅度(搜索异常),-189.19%※,-33.60%,798.79%,-35.14%,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),6.67%,95.00%※,24.99%,80.23%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),6.65%,94.92%※,25.02%,80.29%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-580.35%※,-55.99%,-178.13%※,56.25%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),-15.04%,-25.48%,48.38%※,44.85%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),85.07%※,-15.04%,-25.48%,48.38%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),8.79%,1.55%,21.08%,45.76%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-29.85%,71.64%※,-29.29%,-6.99%,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),3.07%,20.13%,-18.72%,37.54%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),85.07%※,-15.04%,-25.48%,48.38%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),-15.04%,-25.48%,48.38%※,44.85%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-580.35%※,-55.99%,-178.13%※,56.25%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",101.34%※,113.85%,102.56%※,110.03%,105.06%※
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),4.52%※,5.81%※,21.10%,27.56%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",54.27%,53.52%,53.68%,57.31%,58.17%
,,,,,
