款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤3:资产负债表-货币资金变动幅度(搜索异常),-88.18%※,27.55%,31.43%※,81.67%※,
步骤3:资产负债表-拆出资金变动幅度(搜索异常),117377809900.00%※,-100.00%,-100.00%,389999900.00%,
步骤3:资产负债表-应收票据变动幅度(搜索异常)※,159.52%,-53.86%,49.42%,-90.47%※,
步骤3:资产负债表-流动资产合计变动幅度(搜索异常),15.35%,22.82%,24.47%,38.73%※,
步骤3:资产负债表-在建工程变动幅度(搜索异常)※,28.89%,-3.08%,-26.56%,-43.91%※,
步骤3:资产负债表-资产总计变动幅度(搜索异常),14.51%,18.75%,19.19%,30.86%※,
步骤3:资产负债表-吸收存款及同业存放变动幅度(搜索异常),-3.70%,9.66%,-2.93%,80.62%※,
步骤3:资产负债表-预收账款变动幅度(搜索异常),1.21%,-5.91%,-17.74%,112.32%※,
步骤3:资产负债表-应交税费变动幅度(搜索异常),-18.71%,39.41%※,80.84%※,69.84%※,
步骤3:资产负债表-流动负债合计变动幅度(搜索异常),-3.17%,10.01%,4.20%,84.62%※,
步骤3:资产负债表-负债合计变动幅度(搜索异常),-3.17%,10.01%,4.20%,84.62%※,
步骤3:资产负债表-盈余公积变动幅度(搜索异常),23.44%,63.64%※,15.13%,14.90%,
步骤3:资产负债表-少数股东权益变动幅度(搜索异常),28.36%,0.04%,52.05%※,30.16%,
步骤3:资产负债表-负债和所有者权益(或股东权益)总计变动幅度(搜索异常),14.51%,18.75%,19.19%,30.86%※,
,,,,,
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,18304237.0,15984667.0,13461012.0,11293454.0,8630146.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,14.51%,18.75%,19.19%,30.86%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),22.49%,26.55%,28.67%,32.79%,23.25%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),0.00%,0.04%,0.03%,0.05%,0.07%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,1072785.0,1183040.0,1241659.0,1567735.0,-179532.0※
步骤8:应付预收/应收预付 1(判断公司地位),456.11%,777.53%,716.97%,941.18%,82.15%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),9.65%,10.76%,12.82%,15.23%,18.90%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.00%,0.02%,0.02%,0.03%,0.03%
,,,,,
步骤11:利润表-营业总收入变动幅度(搜索异常),15.10%,26.43%,52.07%※,20.06%,
步骤11:利润表-营业收入变动幅度(搜索异常),16.01%,26.49%,49.81%※,18.99%,
步骤11:利润表-利息收入变动幅度(搜索异常),-3.80%,25.15%,120.03%※,64.35%※,
步骤11:利润表-营业总成本变动幅度(搜索异常),15.26%,16.92%,39.23%※,40.72%※,
步骤11:利润表-营业成本变动幅度(搜索异常),13.91%,9.81%,74.20%※,34.34%※,
